Kraj,Liga,Superbet,Flashscore
England,FA Cup,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/puchar-fa/?ct=or,https://flashscore.pl/pilka-nozna/anglia/puchar-fa/?ct=or
England,League One,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/league-one/?ct=m,https://flashscore.pl/pilka-nozna/anglia/league-one/
England,League Two,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/league-two/,https://flashscore.pl/pilka-nozna/anglia/league-two/
England,National League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/national-league/,https://flashscore.pl/pilka-nozna/anglia/national-league/
England,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/anglia/premier-league/
England,FA Trophy,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/puchar-fa/?ct=m,https://flashscore.pl/pilka-nozna/anglia/puchar-fa/
Estonia,Meistriliiga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/estonia/meistriliiga-baraze/?ct=m,https://flashscore.pl/pilka-nozna/estonia/meistriliiga-baraze/
Ethiopia,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/etiopia/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/etiopia/premier-league/
France,Coupe de France,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/francja/puchar/?ct=or,https://flashscore.pl/pilka-nozna/francja/puchar/?ct=or
France,Ligue 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/francja/ligue-1/?ct=m,https://flashscore.pl/pilka-nozna/francja/ligue-1/
France,Ligue 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/francja/ligue-2/?ct=m,https://flashscore.pl/pilka-nozna/francja/ligue-2/
France,National 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/francja/national-1/?ct=m,https://flashscore.pl/pilka-nozna/francja/national-1/
Georgia,Erovnuli Liga,,
Germany,2. Bundesliga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/niemcy/bundesliga-2/?ct=m,https://flashscore.pl/pilka-nozna/niemcy/bundesliga-2/
Germany,3. Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/niemcy/3-liga/?ct=m,https://flashscore.pl/pilka-nozna/niemcy/3-liga/
Germany,Bundesliga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/niemcy/bundesliga/?ct=m,https://flashscore.pl/pilka-nozna/niemcy/bundesliga/
Germany,DFB Pokal,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/niemcy/puchar/?ct=m,https://flashscore.pl/pilka-nozna/niemcy/puchar/
Ghana,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/ghana/division-one/?ct=m,https://flashscore.pl/pilka-nozna/ghana/division-one/
Greece,Super League 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/grecja/super-league/?ct=m,https://flashscore.pl/pilka-nozna/grecja/super-league/
Greece,Super League 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/grecja/super-league-2-gra/?ct=m,https://flashscore.pl/pilka-nozna/grecja/super-league-2-gra/
Guatemala,Liga Nacional,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/gwatemala/liga-nacional-apertura/,https://flashscore.pl/pilka-nozna/gwatemala/liga-nacional-apertura/
Honduras,Liga Nacional,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/honduras/liga-nacional-apertura/?ct=m,https://flashscore.pl/pilka-nozna/honduras/liga-nacional-apertura/
Hong-Kong,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hongkong/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/hongkong/premier-league/
Hungary,NB I,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wegry/nb-i/?ct=m,https://flashscore.pl/pilka-nozna/wegry/nb-i/
India,Calcutta Premier Division,,
Indonesia,Liga 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/indonezja/liga-1/?ct=m,https://flashscore.pl/pilka-nozna/indonezja/liga-1/
Iran,Azadegan League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/iran/puchar/?ct=m,https://flashscore.pl/pilka-nozna/iran/puchar/
Iraq,Iraqi League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/irak/stars-league/?ct=m,https://flashscore.pl/pilka-nozna/irak/stars-league/
Ireland,First Division,http://superbet.pl/zaklady-bukmacherskie/pilka-nozna/irlandia/munster-pl/?ct=m,http://flashscore.pl/pilka-nozna/irlandia/munster-pl/
Israel,Liga Leumit,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/izrael/premier-league/,https://flashscore.pl/pilka-nozna/izrael/premier-league/
Italy,Coppa Italia,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wlochy/puchar/,https://flashscore.pl/pilka-nozna/wlochy/puchar/
Italy,Serie A,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wlochy/serie-a/?ct=m,https://flashscore.pl/pilka-nozna/wlochy/serie-a/
Italy,Serie B,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wlochy/serie-b/,https://flashscore.pl/pilka-nozna/wlochy/serie-b/
Italy,Serie C - Girone A,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wlochy/serie-c-gra/?ct=m,https://flashscore.pl/pilka-nozna/wlochy/serie-c-gra/
Italy,Serie C - Girone B,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wlochy/serie-c-grb/?ct=m,https://flashscore.pl/pilka-nozna/wlochy/serie-c-grb/
Italy,Serie C - Girone C,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/wlochy/serie-c-grc/?ct=m,https://flashscore.pl/pilka-nozna/wlochy/serie-c-grc/
Jamaica,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/jamajka/premier-league/,https://flashscore.pl/pilka-nozna/jamajka/premier-league/
Japan,J1 League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/japonia/j1-league/,https://flashscore.pl/pilka-nozna/japonia/j1-league/
Japan,J2 League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/japonia/j2-league/?ct=m,https://flashscore.pl/pilka-nozna/japonia/j2-league/
Jordan,League,,
Kenya,FKF Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kenia/premier-league/,https://flashscore.pl/pilka-nozna/kenia/premier-league/
Lebanon,Premier League,,
Lithuania,1 Lyga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/litwa/1iga-baraze/?ct=m,https://flashscore.pl/pilka-nozna/litwa/1iga-baraze/
Luxembourg,National Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/meksyk/liga-de-expansion-mx-apertura-playoff/?ct=m,https://flashscore.pl/pilka-nozna/meksyk/liga-de-expansion-mx-apertura-playoff/
Macedonia,First League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/macedonia-polnocna/1mfl/,https://flashscore.pl/pilka-nozna/macedonia-polnocna/1mfl/
Macedonia,Second League,,
Malaysia,Super League,,
Malta,Premier League,,
Mauritania,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/mauretania/super-d1/,https://flashscore.pl/pilka-nozna/mauretania/super-d1/
Mexico,Liga de ExpansiĂłn MX,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/meksyk/liga-de-expansion-mx-apertura-playoff/?ct=m,https://flashscore.pl/pilka-nozna/meksyk/liga-de-expansion-mx-apertura-playoff/
Mexico,Liga MX,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/meksyk/liga-mx-apertura/?ct=m,https://flashscore.pl/pilka-nozna/meksyk/liga-mx-apertura/
Mexico,Liga de Expansión MX,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/meksyk/liga-de-expansion-mx-apertura-playoff/?ct=m,https://flashscore.pl/pilka-nozna/meksyk/liga-de-expansion-mx-apertura-playoff/
Montenegro,First League,,
Netherlands,Eerste Divisie,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/holandia/eerste-divisie/?ct=m,https://flashscore.pl/pilka-nozna/holandia/eerste-divisie/
Netherlands,Eredivisie,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/holandia/eredivisie/?ct=m,https://flashscore.pl/pilka-nozna/holandia/eredivisie/
New-Zealand,National League - National,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/nowa-zelandia/national-league/?ct=m,https://flashscore.pl/pilka-nozna/nowa-zelandia/national-league/
Nigeria,NPFL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/nigeria/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/nigeria/premier-league/
Northern-Ireland,Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/irlandia-polnocna/premiership/,https://flashscore.pl/pilka-nozna/irlandia-polnocna/premiership/
Norway,1. Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/norwegia/1division-baraze/?ct=m,https://flashscore.pl/pilka-nozna/norwegia/1division-baraze/
Norway,Eliteserien,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/norwegia/eliteserien/?ct=m,https://flashscore.pl/pilka-nozna/norwegia/eliteserien/
Oman,Professional League,,
Panama,Liga Panameña de Fútbol,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/panama/lpf-clausura-playoff/,https://flashscore.pl/pilka-nozna/panama/lpf-clausura-playoff/
Paraguay,Division Profesional - Clausura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/paragwaj/primera-division-clausura/?ct=m,https://flashscore.pl/pilka-nozna/paragwaj/primera-division-clausura/
Peru,Primera DivisiĂłn,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/peru/liga-1-clausura/?ct=m,https://flashscore.pl/pilka-nozna/peru/liga-1-clausura/
Peru,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/peru/liga-1-clausura/?ct=m,https://flashscore.pl/pilka-nozna/peru/liga-1-clausura/
Poland,Ekstraklasa,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/polska/ekstraklasa/?ct=m,https://flashscore.pl/pilka-nozna/polska/ekstraklasa/
Poland,I Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/polska/1liga/?ct=m,https://flashscore.pl/pilka-nozna/polska/1liga/
Poland,II Liga - East,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/polska/2liga/?ct=m,https://flashscore.pl/pilka-nozna/polska/2liga/
Portugal,Primeira Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/portugalia/primeira-liga/?ct=m,https://flashscore.pl/pilka-nozna/portugalia/primeira-liga/
Portugal,Segunda Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/portugalia/liga-2/?ct=m,https://flashscore.pl/pilka-nozna/portugalia/liga-2/
Portugal,Liga 3,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/portugalia/liga-3-gra/,https://flashscore.pl/pilka-nozna/portugalia/liga-3-gra/
Qatar,Stars League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/katar/stars-league/?ct=m,https://flashscore.pl/pilka-nozna/katar/stars-league/
Romania,Liga I,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rumunia/superliga/?ct=m,https://flashscore.pl/pilka-nozna/rumunia/superliga/
Romania,Liga II,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rumunia/liga-2/?ct=m,https://flashscore.pl/pilka-nozna/rumunia/liga-2/
Rwanda,National Soccer League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rwanda/national-league/,https://flashscore.pl/pilka-nozna/rwanda/national-league/
Saudi-Arabia,Division 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/arabia-saudyjska/1st-division/,https://flashscore.pl/pilka-nozna/arabia-saudyjska/1st-division/
Saudi-Arabia,Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/arabia-saudyjska/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/arabia-saudyjska/pro-league/
Scotland,Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szkocja/championship/?ct=m,https://flashscore.pl/pilka-nozna/szkocja/championship/
Scotland,League One,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szkocja/league-1/?ct=m,https://flashscore.pl/pilka-nozna/szkocja/league-1/
Scotland,Premiership,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szkocja/premiership/?ct=m,https://flashscore.pl/pilka-nozna/szkocja/premiership/
Serbia,Super Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/serbia/super-liga/?ct=m,https://flashscore.pl/pilka-nozna/serbia/super-liga/
Serbia,Prva Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/serbia/prva-liga/,https://flashscore.pl/pilka-nozna/serbia/prva-liga/
Singapore,Premier League,,
Slovakia,2. liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/slowacja/2-liga/?ct=m,https://flashscore.pl/pilka-nozna/slowacja/2-liga/
Slovakia,Super Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/slowacja/1-liga/?ct=m,https://flashscore.pl/pilka-nozna/slowacja/1-liga/
Slovenia,1. SNL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/slowenia/prva-liga/?ct=m,https://flashscore.pl/pilka-nozna/slowenia/prva-liga/
South-Africa,Premier Soccer League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rpa/premiership/?ct=m,https://flashscore.pl/pilka-nozna/rpa/premiership/
South-Korea,K League 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/korea-poludniowa/k-league-1-grmistrzowska/?ct=m,https://flashscore.pl/pilka-nozna/korea-poludniowa/k-league-1-grmistrzowska/
South-Korea,K League 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/korea-poludniowa/k-league-2/?ct=m,https://flashscore.pl/pilka-nozna/korea-poludniowa/k-league-2/
Spain,Copa del Rey,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/copa-del-rey/,https://flashscore.pl/pilka-nozna/hiszpania/copa-del-rey/
Spain,La Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/laliga/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/laliga/
Spain,Primera División RFEF - Group 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/primera-federacion-gr1/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/primera-federacion-gr1/
Spain,Primera División RFEF - Group 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/primera-federacion-gr2/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/primera-federacion-gr2/
Spain,Segunda División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/laliga-2/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/laliga-2/
Spain,Segunda División RFEF - Group 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr1/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr1/
Spain,Segunda División RFEF - Group 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr2/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr2/
Spain,Segunda División RFEF - Group 3,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr3/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr3/
Spain,Segunda División RFEF - Group 4,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr4/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr4/
Spain,Segunda División RFEF - Group 5,https://superbet.pl/zaklady-bukmackerskie/pilka-nozna/hiszpania/segunda-federacion-gr5/?ct=m,https://superbet.pl/zaklady-bukmackerskie/pilka-nozna/hiszpania/segunda-federacion-gr5/
Sweden,Allsvenskan,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwecja/allsvenskan/?ct=m,https://flashscore.pl/pilka-nozna/szwecja/allsvenskan/
Sweden,Superettan,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwecja/superettan/?ct=m,https://flashscore.pl/pilka-nozna/szwecja/superettan/
Switzerland,Challenge League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwajcaria/challenge-league/?ct=m,https://flashscore.pl/pilka-nozna/szwajcaria/challenge-league/
Switzerland,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwajcaria/super-league/?ct=m,https://flashscore.pl/pilka-nozna/szwajcaria/super-league/
Tanzania,Ligi kuu Bara,,
Thailand,Thai League 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/tajlandia/thai-league-1/?ct=m,https://flashscore.pl/pilka-nozna/tajlandia/thai-league-1/
Thailand,Thai League 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/tajlandia/thai-league-2/?ct=m,https://flashscore.pl/pilka-nozna/tajlandia/thai-league-2/
Trinidad-And-Tobago,Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/trynidad-i-tobago/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/trynidad-i-tobago/pro-league/
Turkey,1. Lig,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/turcja/1-lig/?ct=m,https://flashscore.pl/pilka-nozna/turcja/1-lig/
Turkey,Süper Lig,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/turcja/1-lig/?ct=m,https://flashscore.pl/pilka-nozna/turcja/1-lig/
Uganda,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/uganda/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/uganda/premier-league/
Ukraine,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/ukraina/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/ukraina/premier-league/
United-Arab-Emirates,Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/zea/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/zea/pro-league/
United-Arab-Emirates,Division 1,,
Uruguay,Primera DivisiĂłn - Apertura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/primera-division/
Uruguay,Primera DivisiĂłn - Clausura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/primera-division/
Uruguay,Segunda DivisiĂłn,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/segunda-division-baraze/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/segunda-division-baraze/
Uruguay,Primera División - Apertura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/primera-division/
Uruguay,Segunda División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/segunda-division-baraze/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/segunda-division-baraze/
Uruguay,Primera División - Clausura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/urugwaj/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/urugwaj/primera-division/
USA,Major League Soccer,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/usa/mls-playoff/?ct=m,https://flashscore.pl/pilka-nozna/usa/mls-playoff/
Uzbekistan,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/uzbekistan/super-league/?ct=m,https://flashscore.pl/pilka-nozna/uzbekistan/super-league/
Wales,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/walia/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/walia/premier-league/
World,FIFA Club World Cup,,
World,UEFA Champions League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/miedzynarodowe-klubowe/liga-mistrzow/,https://flashscore.pl/pilka-nozna/miedzynarodowe-klubowe/liga-mistrzow/
World,UEFA Europa Conference League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/miedzynarodowe-klubowe/liga-konferencji/?ct=m,https://flashscore.pl/pilka-nozna/miedzynarodowe-klubowe/liga-konferencji/
World,UEFA Europa League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/miedzynarodowe-klubowe/liga-europy/?ct=m,https://flashscore.pl/pilka-nozna/miedzynarodowe-klubowe/liga-europy/
World,UEFA Super Cup,,
Zambia,Super League,,
